"%s","%s"
"%s %s will expire after %s day(s)","%s %s will expire after %s day(s)"
"%s (%s)","%s (%s)"
"%s day(s)","%s day(s)"
"%s for birthday","%s for birthday"
"'To Date' must be equal or more than 'From Date'","'To Date' must be equal or more than 'From Date'"
"-- None --","-- None --"
"Action","Action"
"Actions","Actions"
"Activate","Activate"
"Activate Coupon","Activate Coupon"
"Activation Count","Activation Count"
"Active","Active"
"Add New Coupon","Add New Coupon"
"Add Rate","Add Rate"
"Add Reward Points","Add Reward Points"
"Add Transaction","Add Transaction"
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Advanced","Advanced"
"After Tax","After Tax"
"Amount available for paying at checkout by points, %","Amount available for paying at checkout by points, %"
"Applies only to registered customers, may vary when logged in.","Applies only to registered customers, may vary when logged in."
"Apply MSS rule:","Apply MSS rule:"
"Apply earn rate if rule matched","Apply earn rate if rule matched"
"Apply earn rate if rule matched ""Promotions/Points and Rewards/Reward Rules""","Apply earn rate if rule matched ""Promotions/Points and Rewards/Reward Rules"""
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Are you sure to clear all log entries?","Are you sure to clear all log entries?"
"Are you sure to reset all transactions?","Are you sure to reset all transactions?"
"Are you sure?","Are you sure?"
"Aw Points balance","Aw Points balance"
"Back","Back"
"Back to Invitations","Back to Invitations"
"Balance Change","Balance Change"
"Balance is limited at %s %s.","Balance is limited at %s %s."
"Balance limitation:","Balance limitation:"
"Balance update email","Balance update email"
"Before Tax","Before Tax"
"Billing Address","Billing Address"
"Block title","Block title"
"Can use points with Magento coupon","Can use points with Magento coupon"
"Cancel earned points after order refunding","Cancel earned points after order refunding"
"Cancel earned points on order refund","Cancel earned points on order refund"
"Cancelation of order #%s","Cancelation of order #%s"
"Canceled","Canceled"
"Canceled earned points on order refund","Canceled earned points on order refund"
"Cancellation of order %s","Cancellation of order %s"
"Cannot load summary, action - %s, amount - %s","Cannot load summary, action - %s, amount - %s"
"Cannot save rate. Check if the same rate for this website and customer group exists","Cannot save rate. Check if the same rate for this website and customer group exists"
"Cart Attribute","Cart Attribute"
"Cart Item Attribute","Cart Item Attribute"
"Cart Subtotal:","Cart Subtotal:"
"Checkout","Checkout"
"Checkout now and earn %s %s !","Checkout now and earn %s %s !"
"Checkout now and earn %s %s (%s) !","Checkout now and earn %s %s (%s) !"
"Clear Log","Clear Log"
"Comment","Comment"
"Comments and Balance Change cannot be empty, at least one customer must be selected","Comments and Balance Change cannot be empty, at least one customer must be selected"
"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Conditions combination","Conditions combination"
"Configuration","Configuration"
"Consider newsletter signup by admin","Consider newsletter signup by admin"
"Country","Country"
"Coupon # %s","Coupon # %s"
"Coupon Activation","Coupon Activation"
"Coupon Code","Coupon Code"
"Coupon Information","Coupon Information"
"Coupon Name","Coupon Name"
"Coupon activation period has expired","Coupon activation period has expired"
"Coupon cannot be used today","Coupon cannot be used today"
"Coupon is inactive","Coupon is inactive"
"Coupon is not active yet","Coupon is not active yet"
"Coupon was NOT activated","Coupon was NOT activated"
"Coupon was activated","Coupon was activated"
"Coupon was successfully deleted","Coupon was successfully deleted"
"Coupon with this code is already exists","Coupon with this code is already exists"
"Coupons","Coupons"
"Current Balance: <strong> %s %s </strong>","Current Balance: <strong> %s %s </strong>"
"Current exchange rates:","Current exchange rates:"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Customer Group IDs","Customer Group IDs"
"Customer Groups","Customer Groups"
