"%s %s will expire after %s day(s)","%s %s irão expirar depois de %s dia(s)"
"Actions","Ações"
"Activate","Ativar"
"Active","Ativo"
"Add Rate","Adicionar Taxa"
"Add Reward Points","Adicionar Pontos de Recompensa"
"Add Transaction","Adicionar Transação"
"Adjustment Fee","Taxa de Ajuste"
"Adjustment Refund","Reembolso de Ajuste"
"%s for birthday","%s para aniversário"
"Advanced","Avançado"
"Applies only to registered customers, may vary when logged in.","É aplicado apenas para clientes registrados, pode variar quando conectado."
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra apenas se atender as seguintes condições (deixe em branco para todos produtos)"
"Are you sure to reset all transactions?","Você tem certeza que quer redefinir todas transações?"
"Back","Voltar"
"Back to Invitations","Voltar para Convites"
"Balance Change","Alteração Saldo"
"Balance is limited at %s  %s.","Saldo está limitado a %s  %s."
"Balance limitation:","Limitação de saldo:"
"Balance update email","Email atualização de saldo"
"Billing Address","Endereço de Cobrança"
"Block title","Bloquear título"
"Canceled","Cancelado"
"Refund of %s item(s) related to order %s","Reembolso do %s item(s) relacionados ao pedido %s"
"Points canceled because of referral order refund","Pontos cancelados por causa de reembolso de pedido indicado"
"Points canceled because of refund of %s item(s) related to order %s","Pontos cancelados por causa de reembolso de %s item(s) relacionados ao pedido %s"
"Reward for birthday","Recompensa para aniversário"
"Apply MSS rule:","Aplicar regra MSS:"
"Cancel earned points on order refund","Cancelar pontos ganhos no reembolso de pedido"
"Cannot load summary, action - %s, amount - %s","Não pode carregar resumo, ação - %s, valor - %s"
"Cannot save rate. Check if the same rate for this website and customer group exists","Não pode salvar taxa. Verifique se mesma taxa existe para este website e grupo de cliente"
"Cart Attribute","Atributo do Carrinho"
"Cart Item Attribute","Atributo do Item do Carrinho"
"Cart Subtotal:","Subtotal Carrinho:"
"Checkout","Checkout"
"Points calculation","Cálculo pontos"
"Cancel earned points after order refunding","Cancelar pontos ganhos depois de reembolso de pedido"
"Restore spent points after order refunding","Restaurar pontos gastos depois de reembolso de pedido" 
"Points and Rewards Customer Birthday","Pontos e Recompensa Aniversário Cliente"
"Points customer birthday email","Email pontos aniversário cliente"
"Checkout now and earn %s %s !","Compre agora e ganhe %s %s !"
"Checkout now and earn %s %s (%s) !","Compre agora e ganhe %s %s (%s) !"
"Comment","Comentário"
