"Customweb_Subscription::%s %s cycle","%s %s Zyklus"
"Customweb_Subscription::-- Please Select --","-- Bitte wählen --"
"Customweb_Subscription::3D Secure","3D Secure"
"Customweb_Subscription::3D Secure Authentication","3D Secure Authentifikation"
"Customweb_Subscription::3D Secure failed","3D Secure ist fehlgeschlagen."
"Customweb_Subscription::3D Secure sucess","3D Secure erfolgreich"
"Customweb_Subscription::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr.</span>"
"Customweb_Subscription::A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"Customweb_Subscription::A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_Subscription::A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"Customweb_Subscription::A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"Customweb_Subscription::A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"Customweb_Subscription::A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_Subscription::A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"Customweb_Subscription::A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"Customweb_Subscription::A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"Customweb_Subscription::A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_Subscription::A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"Customweb_Subscription::A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"Customweb_Subscription::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"Customweb_Subscription::About","Über"
"Customweb_Subscription::About This Subscription:","Über dieses Abo:"
"Customweb_Subscription::Account Holder Name","Kontoinhaber"
"Customweb_Subscription::Account owner name.","Kontoinhaber"
"Customweb_Subscription::Action","Aktion"
"Customweb_Subscription::Activate","Aktiv"
"Customweb_Subscription::Active","Aktiv"
"Customweb_Subscription::Add","Hinzufügen"
"Customweb_Subscription::After %s more cycle(s)","Nach %s weiteren Durchgängen"
"Customweb_Subscription::Agreement Checkbox Text","Einwilligungs-Checkbox-Text"
"Customweb_Subscription::Agreement Text","Einwilligungs-Text"
"Customweb_Subscription::Agreement Title","Einwilligungs-Titel"
"Customweb_Subscription::Alias","Alias"
"Customweb_Subscription::All subscriptions are up to date.","Alle Abos sind aktuell."
"Customweb_Subscription::Allow Guest Subscriptions","Gast-Abos erlauben"
"Customweb_Subscription::American Express","American Express"
"Customweb_Subscription::Apply Subscription","Abo anwenden"
"Customweb_Subscription::Are you sure you want to authorize this subscription?","Möchten Sie dieses Abo wirklich autorisieren?"
"Customweb_Subscription::Are you sure you want to cancel this subscription?","Möchten Sie dieses Abo wirklich kündigen?"
"Customweb_Subscription::Are you sure you want to capture this subscription?","Möchten Sie dieses Abo wirklich verbuchen?"
"Customweb_Subscription::Are you sure you want to permanently delete this subscription?","Möchten Sie dieses Abo wirklich unwiderruflich löschen?"
"Customweb_Subscription::Are you sure?","Sind Sie sicher?"
"Customweb_Subscription::Attrib. Set Name","Attribut Setname"
"Customweb_Subscription::Author","Autor"
"Customweb_Subscription::Authorization Amount","Autorisierungsbetrag"
"Customweb_Subscription::Authorization Failed","Autorisierung fehlgeschlagen"
"Customweb_Subscription::Authorization Method","Autorisierungsmethode"
"Customweb_Subscription::Authorize next cycle","Nächsten Zyklus autorisieren"
"Customweb_Subscription::Authorized","Autorisiert"
"Customweb_Subscription::Authorized Status","Autorisationsstatus"
"Customweb_Subscription::Awaiting confirmation","Warten auf die Bestätigung"
"Customweb_Subscription::BIC","BIC"
"Customweb_Subscription::Back","Zurück"
"Customweb_Subscription::Back to Subscriptions","Zurück zu den Abos"
"Customweb_Subscription::Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Customweb_Subscription::Bank Location","Bank Standort"
"Customweb_Subscription::Bank Name","Name der Bank"
"Customweb_Subscription::Bank account number","Bankkonto"
"Customweb_Subscription::Bank code number","Bankcodenummer"
"Customweb_Subscription::Bill to Name","Rechnung an"
"Customweb_Subscription::Billing Address","Rechnungsadresse"
"Customweb_Subscription::Billing Amount","Rechnungsbetrag"
"Customweb_Subscription::Billing Frequency","Abrechnungshäufigkeit"
"Customweb_Subscription::Billing Information","Rechnungsinformationen"
"Customweb_Subscription::Billing Period","Abrechnungsperiode"
"Customweb_Subscription::Billing Period Unit","Einheit der Rechnungsperiode"
"Customweb_Subscription::Billing address","Rechnungsadresse"
"Customweb_Subscription::Brand Name","Markenname"
"Customweb_Subscription::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"Customweb_Subscription::CVC Code","CVC Code"
"Customweb_Subscription::Calculate Price","Preis berechnen"
"Customweb_Subscription::Calculated Price","Berechneter Preis"
"Customweb_Subscription::Can Customer Suspend","Aufschiebbar durch Kunde"
"Customweb_Subscription::Cancel","Stornieren"
"Customweb_Subscription::Cancel ID","Stornierungs ID"
"Customweb_Subscription::Cancel Subscription","Abo kündigen"
"Customweb_Subscription::Cancel status","Stornierungsstatus"
"Customweb_Subscription::Cancelation Email Template","E-Mail-Vorlage für Kündigung"
"Customweb_Subscription::Cancelation Request Email Template","E-Mail-Vorlage für Kündigungs-Anfrage"
"Customweb_Subscription::Cancelation Requested","Kündigung beantragt"
"Customweb_Subscription::Cancelation Requested At","Kündigung angefragt am"
"Customweb_Subscription::Canceled","Storniert"
"Customweb_Subscription::Cancelled Status","Status für abgebrochene Bestellungen"
"Customweb_Subscription::Cannot apply the subscription plan.","Der Abo-Plan kann nicht angewendet werden."
"Customweb_Subscription::Cannot get the subscription instance.","Die Abo-Instanz konnte nicht erreicht werden."
"Customweb_Subscription::Capture","Verbuchung"
"Customweb_Subscription::Capture Amount","Buchungsbetrag"
"Customweb_Subscription::Capture ID","Buchungs ID"
"Customweb_Subscription::Capture amount","Verbuchungsbetrag"
"Customweb_Subscription::Capture status","Verbuchungsstatus"
"Customweb_Subscription::Captured","Verbucht"
"Customweb_Subscription::Captured Amount","Verbuchter Betrag"
"Customweb_Subscription::Captured Status","Verbuchungsstatus"
"Customweb_Subscription::Capturing","Verbuchung"
"Customweb_Subscription::Card Expiration","Kartenablaufdatum"
"Customweb_Subscription::Card Holder Name","Karteninhaber"
"Customweb_Subscription::Card Number","Kartennummer"
"Customweb_Subscription::Cart Subscriptions","Warenkorb Abos"
"Customweb_Subscription::Change","Ändern"
"Customweb_Subscription::Change Subscription","Abo ändern"
"Customweb_Subscription::Change status","Status ändern"
"Customweb_Subscription::Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
