"Customweb_Subscription::%s %s cycle","%s %s cycle"
"Customweb_Subscription::-- Please Select --","Please select"
"Customweb_Subscription::3D Secure","3D Secure"
"Customweb_Subscription::3D Secure Authentication","3D Secure Authentication"
"Customweb_Subscription::3D Secure failed","3D Secure verification failed"
"Customweb_Subscription::3D Secure sucess","3D Secure successfull"
"Customweb_Subscription::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month in two digits and 'YY' the year in two digits.</span>"
"Customweb_Subscription::A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"Customweb_Subscription::A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"Customweb_Subscription::A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"Customweb_Subscription::A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"Customweb_Subscription::A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"Customweb_Subscription::A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"Customweb_Subscription::A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"Customweb_Subscription::A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"Customweb_Subscription::A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"Customweb_Subscription::A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"Customweb_Subscription::A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"Customweb_Subscription::A refund was added over !amount.","A refund was added over !amount."
"Customweb_Subscription::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"Customweb_Subscription::About","About"
"Customweb_Subscription::About This Subscription:","About this subscription:"
"Customweb_Subscription::Account Holder Name","Account holder"
"Customweb_Subscription::Account owner name.","Account holder"
"Customweb_Subscription::Action","Action"
"Customweb_Subscription::Activate","Active"
"Customweb_Subscription::Active","Active"
"Customweb_Subscription::Add","Add"
"Customweb_Subscription::After %s more cycle(s)","After %s more cycle(s)"
"Customweb_Subscription::Agreement Checkbox Text","Agreement Checkbox Text"
"Customweb_Subscription::Agreement Text","Agreement Text"
"Customweb_Subscription::Agreement Title","Agreement Title"
"Customweb_Subscription::Alias","Alias"
"Customweb_Subscription::All subscriptions are up to date.","All subscriptions are up to date."
"Customweb_Subscription::Allow Guest Subscriptions","Allow Guest Subscriptions"
"Customweb_Subscription::American Express","American Express"
"Customweb_Subscription::Apply Subscription","Apply subscription to cart"
"Customweb_Subscription::Are you sure you want to authorize this subscription?","Are you sure you want to authorise this subscription?"
"Customweb_Subscription::Are you sure you want to cancel this subscription?","Do you really want to cancel this subscription?"
"Customweb_Subscription::Are you sure you want to capture this subscription?","Are you sure you want to capture this subscription?"
"Customweb_Subscription::Are you sure you want to permanently delete this subscription?","Are you sure you want to permanently delete this subscription?"
"Customweb_Subscription::Are you sure?","Are you sure?"
"Customweb_Subscription::Attrib. Set Name","Attribute set name"
"Customweb_Subscription::Author","Author"
"Customweb_Subscription::Authorization Amount","Authorisation Amount"
"Customweb_Subscription::Authorization Failed","Authorisation failed"
"Customweb_Subscription::Authorization Method","Authorisation Method"
"Customweb_Subscription::Authorize next cycle","Authorise next cycle"
"Customweb_Subscription::Authorized","Authorised"
"Customweb_Subscription::Authorized Status","Authorised status"
"Customweb_Subscription::Awaiting confirmation","Awaiting confirmation"
"Customweb_Subscription::BIC","BIC"
"Customweb_Subscription::Back","Back"
"Customweb_Subscription::Back to Subscriptions","Back to subscriptions"
"Customweb_Subscription::Bad signature format.","False signature format."
"Customweb_Subscription::Bank Location","Bank Location"
"Customweb_Subscription::Bank Name","Bank Name"
"Customweb_Subscription::Bank account number","Bank account number (IBAN)"
"Customweb_Subscription::Bank code number","Bank code number"
"Customweb_Subscription::Bill to Name","Bill to name"
"Customweb_Subscription::Billing Address","Billing Address"
"Customweb_Subscription::Billing Amount","Billing amount"
"Customweb_Subscription::Billing Frequency","Billing frequency"
"Customweb_Subscription::Billing Information","Billing information"
"Customweb_Subscription::Billing Period","Billing period"
"Customweb_Subscription::Billing Period Unit","Billing period unit"
"Customweb_Subscription::Billing address","Billing Address"
"Customweb_Subscription::Brand Name","Brand Name"
"Customweb_Subscription::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","With the capture setting, the transaction can be captured directly after the order or later manually over the backend of the store."
"Customweb_Subscription::CVC Code","CVC Code"
"Customweb_Subscription::Calculate Price","Calculate Price"
"Customweb_Subscription::Calculated Price","Calculated Price"
"Customweb_Subscription::Can Customer Suspend","Can Customer Suspend?"
"Customweb_Subscription::Cancel","Cancel"
"Customweb_Subscription::Cancel ID","Cancel ID"
"Customweb_Subscription::Cancel Subscription","Cancel subscription"
"Customweb_Subscription::Cancel status","Cancel status"
