"Customweb_Subscription::%s %s cycle","%s %s ciclo"
"Customweb_Subscription::-- Please Select --","-- Por favor seleccione --"
"Customweb_Subscription::3D Secure","3D Secure con éxito"
"Customweb_Subscription::3D Secure Authentication","3D Secure Authentication"
"Customweb_Subscription::3D Secure failed","3D Secure fallado"
"Customweb_Subscription::3D Secure sucess","3D Secure con éxito"
"Customweb_Subscription::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">El formato esperado es '!format' donde el 'MM' significa el número del mes y 'YY' el número de años.</span>"
"Customweb_Subscription::A authorized transaction cannot be authorized again.","Una transacción autorisada no puede ser autorisada otra vez"
"Customweb_Subscription::A authorized transaction cannot be marked as failed.","Una transacción autorizada no puede ser marcado como fallada"
"Customweb_Subscription::A cancelled transaction cannot be authorized.","Una transacción cancelada no puede ser autorizada"
"Customweb_Subscription::A cancelled transaction cannot be cancelled again.","Una transacción cancelada no puede ser cancelada otra vez"
"Customweb_Subscription::A cancelled transaction cannot be captured.","Una transacción cancelada no puede ser contabilizada"
"Customweb_Subscription::A cancelled transaction cannot be marked as failed.","Una transacción cancelada no puede ser marcado como fallada"
"Customweb_Subscription::A cancelled transaction cannot be refunded.","Una transacción cancelada no puede ser reembolsada"
"Customweb_Subscription::A captured transaction cannot be authorized.","Una transacción contabilizada no puede ser autorizada"
"Customweb_Subscription::A captured transaction cannot be cancelled.","Una transacción contabilizada no puede ser cancelada"
"Customweb_Subscription::A captured transaction cannot be marked as failed.","Una transacción contabilizada no puede ser marcado como fallada"
"Customweb_Subscription::A failed authorization cannot be authorized.","Una autorización fallada no puede ser autorizada"
"Customweb_Subscription::A refund was added over !amount.","Un reembolso se añadió durante  !amount."
"Customweb_Subscription::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transacción puede ser incierto, cuando no se garantiza el pago. Por ejemplo en el caso de la tarjeta de crédito no participa en el procedimiento de 3D​​."
"Customweb_Subscription::About","About"
"Customweb_Subscription::About This Subscription:","Acerca de esta suscripción:"
"Customweb_Subscription::Account Holder Name","Titular de la cuenta Nombre"
"Customweb_Subscription::Account owner name.","Nombre del titular"
"Customweb_Subscription::Action","Acción"
"Customweb_Subscription::Activate","Activar"
"Customweb_Subscription::Active","Activo"
"Customweb_Subscription::Add","Añadir"
"Customweb_Subscription::After %s more cycle(s)","Después de %s más ciclo(s)"
"Customweb_Subscription::Agreement Checkbox Text","Agreement Checkbox Text"
"Customweb_Subscription::Agreement Text","Agreement Text"
"Customweb_Subscription::Agreement Title","Agreement Title"
"Customweb_Subscription::Alias","Alias"
"Customweb_Subscription::All subscriptions are up to date.","Todas las suscripciones están al día."
"Customweb_Subscription::Allow Guest Subscriptions","Allow Guest Subscriptions"
"Customweb_Subscription::American Express","American Express"
"Customweb_Subscription::Apply Subscription","Aplicar suscripción"
"Customweb_Subscription::Are you sure you want to authorize this subscription?","¿Está seguro que desea autorizar esta suscripción?"
"Customweb_Subscription::Are you sure you want to cancel this subscription?","¿Está seguro que desea cancelar la suscripción?"
"Customweb_Subscription::Are you sure you want to capture this subscription?","¿Está seguro de que desea contabilizar esta suscripción?"
"Customweb_Subscription::Are you sure you want to permanently delete this subscription?","¿Seguro que quieres eliminar permanentemente esta suscripción?"
"Customweb_Subscription::Are you sure?","¿Está seguro?"
