"Customweb_Subscription::%s %s cycle","%s %s ciclo"
"Customweb_Subscription::-- Please Select --","-- Seleziona --"
"Customweb_Subscription::3D Secure","3D Secure"
"Customweb_Subscription::3D Secure Authentication","3D Secure Authentication"
"Customweb_Subscription::3D Secure failed","3D Secure fallito"
"Customweb_Subscription::3D Secure sucess","3D Secure successo"
"Customweb_Subscription::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Il formato previsto è '!format' dove il 'MM' si intende il numero del mese e 'YY' il numero dell'anno.</span>"
"Customweb_Subscription::A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzato nuovamente"
"Customweb_Subscription::A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnato come non riuscito."
"Customweb_Subscription::A cancelled transaction cannot be authorized.","Una transazione annulato non può essere annullato."
"Customweb_Subscription::A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellato nuovamente"
"Customweb_Subscription::A cancelled transaction cannot be captured.","Una transazione annullata non può essere contabilizzato."
"Customweb_Subscription::A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come non riuscito."
"Customweb_Subscription::A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsato"
"Customweb_Subscription::A captured transaction cannot be authorized.","Una transazione catturata non può essere autorizzato."
"Customweb_Subscription::A captured transaction cannot be cancelled.","Una transazione catturata non può essere annullato."
"Customweb_Subscription::A captured transaction cannot be marked as failed.","Una transazione contabilizzata non può essere contrassegnato come non riuscito."
"Customweb_Subscription::A failed authorization cannot be authorized.","Una autorizzazione fallata non può essere autorizzato"
"Customweb_Subscription::A refund was added over !amount.","È stato aggiunto un rimborso di !amount."
"Customweb_Subscription::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerto, quando il pagamento non è garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"Customweb_Subscription::About","About"
"Customweb_Subscription::About This Subscription:","Informazioni su questo abbonamento:"
"Customweb_Subscription::Account Holder Name","Nome del titolare"
"Customweb_Subscription::Account owner name.","Nome del titolare del conto bancario"
"Customweb_Subscription::Action","Azione"
"Customweb_Subscription::Activate","Attivare"
"Customweb_Subscription::Active","Attivo"
"Customweb_Subscription::Add","Aggiungi"
